dataset,subset,task,n,rho_D_hybrid,rho_D_pb_RoM,rho_D_pb_MoR,rho_a_n_bits,rho_a_n_pb_RoM
McDiv,mcdiv_all_no_hds,prompt_gen,2000,0.2288126005354634,0.7058870025557313,nan,0.20113096167208547,0.6064655419502116
McDiv,mcdiv_all_no_hds,resp_gen,2002,0.11244923828971233,0.45483147768163923,nan,0.15773921665616766,0.4163530172945827
McDiv,mcdiv_all_no_hds,story_gen,2000,0.15312370283439822,0.5155882885916057,nan,0.133636396962982,0.39131882376727734
McDiv_nuggets,mcdiv_nuggets_200_with_hds,prompt_gen,200,0.09639465217475068,0.6451426451479945,nan,0.05412997089777104,0.5283951239156818
McDiv_nuggets,mcdiv_nuggets_200_with_hds,resp_gen,200,0.10812996483266592,0.40589925050658315,nan,0.08506455132385347,0.27635140170144856
McDiv_nuggets,mcdiv_nuggets_200_with_hds,story_gen,200,0.2849675800954045,0.4230759177883431,nan,0.19936467065963084,0.12537187242263617
McDiv_nuggets,mcdiv_nuggets_no_hds,prompt_gen,1008,0.07979209390032593,0.6095551387984649,nan,0.03329898256591939,0.48050496197761655
McDiv_nuggets,mcdiv_nuggets_no_hds,resp_gen,1049,0.0138072970592459,0.29731335236284084,nan,-0.00934652653786193,0.19927713598823163
McDiv_nuggets,mcdiv_nuggets_no_hds,story_gen,1012,0.11158662070638357,0.31254401110976826,nan,0.04487480149126192,0.1122698731278049
conTest,con_test_200_with_hds,prompt_gen,200,0.09768888666560005,0.5558220519679266,nan,0.01697431009437731,0.42106681468807394
conTest,con_test_200_with_hds,resp_gen,220,0.022903387780932313,0.32766159144096285,nan,0.048240260513588686,0.24277591047788247
conTest,con_test_200_with_hds,story_gen,250,0.027159643056224533,0.6888572324546092,nan,-0.04500740849317208,0.3854452200265008
decTest,dec_test_1000_no_hds,prompt_gen,999,0.7656877215095482,0.8460364200164138,nan,0.9400429077328059,0.9368359269023496
decTest,dec_test_1000_no_hds,resp_gen,994,0.831432966322385,0.7931660383203101,nan,0.9280914416272223,0.930852324611489
decTest,dec_test_1000_no_hds,story_gen,985,0.6875361868591889,0.7543975870948519,nan,0.7440353151086541,0.78311856883897
decTest,dec_test_200_with_hds,prompt_gen,203,0.7609391653759593,0.8352631189922421,nan,0.9465457002157457,0.9113644952536109
decTest,dec_test_200_with_hds,resp_gen,203,0.8220852300352136,0.7677655299091642,nan,0.9166623336945328,0.9275786352423782
decTest,dec_test_200_with_hds,story_gen,203,0.6813367399093188,0.7670704844922603,nan,0.7853805199487196,0.8207195267598936
